Index|Word|Definition|Grouping

929|Chutzpah|Nearly Arrogant Courage, Supreme Self-Confidence|Noun

930|Circuitous|Roundabout, Longer Than The Most Direct Way|Adjective

931|Circulate|To Move In Circles Or Through A Circuit|Verb

932|Circumference|The Outer Boundary Of A Circular Area|Noun

933|Circumlocution|A Roundabout Or Indirect Way Of Speaking|Noun

934|Circumnavigate|To Travel Completely Around Somewhere Or Something|Verb

935|Circumscribe|To Restrict (Something) Within Limits|Verb

936|Circumspect|Wary And Unwilling To Take Risks|Adjective

937|Circumvent|To Overcome A Difficulty, Typically In A Clever Way|Verb

938|Citadel|A Strong Fortress That Sits High Above A City|Noun

939|Cite|To Quote|Verb

940|Citizenry|A Whole Body Of Citizens|Noun

941|Claimant|A Person Who Makes A Claim|Noun

942|Clairvoyant|Having The Power To See Beyond The Natural Range Of Vision|Adjective

943|Clamber|To Climb Something With Some Difficulty|Verb

944|Clamor|A Loud And Confused Noise|Noun

945|Clan|A Group Of People All Descended From A Common Ancestor|Noun

946|Clandestine|Kept Secret Or Done Secretly|Adjective

947|Clangour|A Loud, Resonant Sound, Clang|Verb

948|Claque|A Group Of People Hired To Attend A Performance To Applaud|Noun

949|Clarify|To Make Clear Or Intelligible|Verb

950|Clarion|Loud And Clear|Adjective

951|Classify|To Identify By Or Divide Into Classes, To Categorize|Verb

952|Cleave|To Split Or Sever Something|Verb

953|Cleft|A Space Or Opening Made By Cleavage, A Split|Noun

954|Clemency|The Gentle Or Kind Exercise Of Power|Noun

955|Clement|Lenient Or Merciful, Charitable|Adjective

956|Clergy|Body Of Persons Who Are Ordained For Religious Service|Noun

957|Cliche|A Trite, Stereotyped Expression|Noun

958|Clientele|The Body Or Class Of People Who Frequent An Establishment|Noun

959|Clique|A Small, Exclusive Group Of Individuals, Cabal|Noun

960|Close-Hauled|A Bringing To An End, Conclusion|Noun

961|Clothier|A Person Who Makes Or Sells Cloth Or Clothing|Noun

962|Cloy|To Fill Up Or Choke Up, To Stop Up|Verb

963|Clumsy|Awkward, Lacking Coordination, Not Graceful, Not Dextrous|Adjective

964|Coagulate|To Become Congealed|Verb

965|Coalesce|To Grow Together Or Into One Body|Verb

966|Coalition|A Temporary Group, Usually Formed For A Particular Advantage|Noun

967|Cobbler|A Person Who Repairs Shoes|Noun

968|Coddle|To Treat In An Indulgent Or Overprotective Way|Verb

969|Codicil|A Document That Amends A Previously Executed Will|Noun

970|Coerce|To Persuade|Verb

971|Cogent|To The Point, Relevant|Adjective

972|Cogitate|To Meditate, To Ponder, To Think Deeply|Verb

973|Cognate|Related By Birth, Of The Same Parentage|Adjective

974|Cognizant|Having Awareness Of (Something)|Adjective

975|Cohere|To Stick Together|Verb

976|Cohesive|Having Unity|Adjective

977|Coiffure|To Style Or Arrange Hair|Verb

978|Coincide|To Occupy Exactly The Same Space|Verb

979|Coincidence|An Occurence, By Chance, Of More Than One Event At One Time|Noun

980|Collaborate|To Work Together With Others To Achieve A Common Goal|Verb

981|Collage|A Work Of Art, Made From Assembling Different Items Into One|Noun

982|Collapse|To Fall Down Suddenly, To Cave In|Verb

983|Collate|To Gather Pages In Their Proper Sequence|Verb

984|Collateral|Parallel, Along The Same Vein, Side By Side|Adjective

985|Colleague|A Person With Whom One Works With|Noun

986|Collective|Gathered Into A Mass, Sum, Or Body|Adjective

987|Collector|A Person Who Collects, Or Who Manages A Collection|Noun

988|Collegian|A Student (Or A Former Student) Of A College|Noun

989|Collide|To Impact Directly, Especially If Violent|Verb

990|Collier|A Ship For Carrying Coal|Noun

991|Collision|An Instance Of Violent Contact Between Objects|Noun

992|Colloquial|Ordinary Or Familiar Language Rather Than Formal Language|Adjective

993|Colloquy|A Conversation Or Dialogue|Noun

994|Collusion|A Secret Agreement, Especially For Treacherous Purposes|Noun

995|Colossus|A Statue Of Gigantic Size, Wonders Of The Ancient World|Noun

996|Combatant|An Armed Fighter|Noun

997|Combustion|The Process Of Burning Something|Noun

998|Comely|(Woman) Pleasant To Look At, Agreeable|Adjective

999|Comestible|Suitable To Be Eaten, Edible|Adjective

1000|Comical|Funny, Amusing|Adjective

1001|Commandeer|To Seize For Military Use|Verb

1002|Commemorate|To Honour The Memory Of Someone Or Something With A Ceremony|Verb

1003|Commend|To Praise Formally Or Officially|Verb

1004|Commensurate|Corresponding In Size Or Degree|Adjective

1005|Commentary|A Series Of Comments Or Annotations On Another Work|Noun

1006|Commingle|To Blend, To Mix|Verb

1007|Commiserate|To Feel Or Express Compassion Or Sympathy For|Verb

1008|Commissarial|A Shop Supplying Food And Equipment, As For A Military Camp|Noun

1009|Commission|To Send Or Officially Charge Someone To Do Something|Verb

1010|Commitment|A Pledge Or Promise|Noun

1011|Committal|Of Or Relating To A Committee|Adjective

1012|Commodious|Spacious And Convenient, Roomy And Comfortable|Adjective

1013|Commodity|A Useful Or Valuable Thing|Noun

1014|Commotion|A State Of Turbulent Motion|Noun

1015|Commute|To Travel From One'S Home To One'S Workplace|Verb

1016|Comparable|Able To Be Compared|Adjective

1017|Comparative|Perceptible By Comparison, Relative|Adjective

1018|Comparison|The Act Of Comparing, To Liken|Noun

1019|Compassion|Feeling The Suffering Of Others With The Wish To Relieve It|Noun

1020|Compatible|Able To Co-Exist Or Occur Together Without Conflict|Adjective

1021|Compel|(Literally) To Drive Together, Round Up|Verb

1022|Compendium|A Collection Of Concise But Detailed Info About One Subject|Noun

1023|Compensate|To Pay Someone In Exchange For Work Done, Etc.|Verb

1024|Competence|The Quality Or State Of Being Competent, Able|Noun

1025|Competent|Having The Necessary Ability, Knowledge, Or Skill|Adjective

1026|Competitor|A Person Or Organization Against Whom One Is Competing|Noun

1027|Complacent|Smug Or Uncritical Satisfaction With One'S Achievements|Adjective

1028|Complaisant|Willing  To Please Others, Obliging|Adjective

1029|Complement|To Complete, To Bring To Perfection, To Make Whole|Verb

1030|Complex|To Form A Complex With Another Substance|Verb

1031|Compliance|The Action Or Fact Of Meeting Rules Or Standards|Noun

1032|Compliant|Inclined To Agree With Others, Especially Submissively|Adjective

1033|Complicate|To Make Complex|Verb

1034|Complication|An Involved Or Confused State|Noun

1035|Complicit|Involved With Others In An Illegal Activity Or Wrongdoing|Noun

1036|Complicity|The State Of Being Involved As A Partner Or Accomplice|Noun

1037|Compliment|A Polite Expression Of Praise Or Admiration|Noun

1038|Component|Making Up A Larger Whole, As A Component Word|Adjective

1039|Comport|To Tolerate, Bear|Verb

1040|Composed|Calm, Tranquil, Serene|Verb

1041|Composure|Calmness Of Mind Or Matter, Self-Possession|Noun

1042|Compound|To Come Together|Verb

1043|Comprehensible|Able To Be Understood|Adjective

1044|Comprehension|Thorough Understanding|Noun

1045|Comprehensive|Complete, Including All Or Nearly All Elements Or Aspects|Adjective

1046|Compress|To Press Or Squeeze Together|Verb

1047|Compressible|Able To Be Compressed|Adjective

1048|Comprise|To Consist Of, Being Made Up Of|Verb

1049|Compromise|To Bind By Mutual Agreement|Verb

1050|Compulsion|The Action Or State Of Being Forced To Do Something|Noun

1051|Compulsory|Required, Obligatory, Mandatory|Adjective

1052|Compunction|A Pricking Of Conscience Or A Feeling Of Regret|Noun

1053|Computation|The Use Of Computers, Esp. As A Subject Of Research Or Study|Noun

1054|Compute|To Reckon Or Calculate|Verb

1055|Concatenate|To Join Or Link Together, As Though In A Chain|Verb

1056|Concatenation|A Series Or Order Of Connected Things|Noun

1057|Concede|To Yield Or Suffer, To Surrender, To Grant (A Point)|Verb

1058|Conceit|Overly High Self-Esteem, Vain Pride, Hubris|Noun

1059|Conceive|To Develop An Idea|Verb

1060|Concerted|Planned Or Devised Together|Adjective

1061|Concerto|A Piece Of Music For Solo Instruments And Orchestra|Noun

1062|Concession|A Thing That Is Granted, Esp. In Response To Demands|Noun

1063|Conciliate|Make Calm And Content, Placate|Verb

1064|Conciliatory|Intended Or Likely To Placate Or Pacify|Adjective

1065|Concise|Brief But Comprehensive|Adjective

1066|Conclusive|Serving To Prove A Case, Convincing|Adjective

1067|Concoct|To Create Or Devise|Verb

1068|Concomitant|Accompanying, Concurrent|Adjective

1069|Concord|Agreement Or Harmony Between People Or Groups|Noun

1070|Concordance|Agreement, Accordance, Consonance|Noun

1071|Concur|To Unite Or Agree, To Have A Common Opinion|Verb

1072|Concurrence|Agreement, Concurring|Noun

1073|Concurrent|Happening At The Same Time, Simultaneous|Adjective

1074|Concussion|A Violent Collision Or Shock|Noun

1075|Condemn|To Sentence (Someone) To A Particular Punishment|Verb

1076|Condensation|The Result Of Being Made Compact Or Dense|Noun

1077|Condense|To Decrease Size Or Volume By Concentration|Verb

1078|Condescend|To Stoop Or Deign To Do Something|Verb

1079|Condescending|Showing Patronizing Descent From Dignity Orsuperiority|Verb

1080|Condescension|Behaviour That Is Patronizing Or Condescending|Noun

1081|Conditional|Subject To One Or More Requirements Being Met|Adjective

1082|Condolence|An Expression Of Sympathy, Esp. On The Occasion Of Death|Noun

1083|Condonance|The Overlooking Or Implied Forgiving Of An Offense|Verb

1084|Condone|Accept And Allow (Morally Wrong Or Offensive Behavior)|Verb

1085|Conduce|To Contribute Or Lead To A Specific Result|Verb

1086|Conducive|Tending To Contribute To, Encourage|Adjective

1087|Conductible|Able To Conduct|Adjective

1088|Conduit|A Tube For Protecting Electric Wiring|Noun

1089|Confection|A Dish Or Delicacy Made With Sweet Ingredients|Noun

1090|Confectionery|Foodstuffs That Taste Very Sweet, Candies|Noun

1091|Confederacy|An Alliance|Noun

1092|Confederate|Joined By An Agreement Or Treaty|Verb

1093|Confer|To Discuss, Exchange Opinions|Verb

1094|Conferee|A Person Who Participates In A Conference|Noun

1095|Confessor|A Person Who Confesses|Noun

1096|Confidant|A Person In Whom One Can Confide Or Share One'S Secrets|Noun

1097|Confide|To Trust, Have Faith (In)|Verb

1098|Confidence|Self-Assurance|Noun

1099|Confident|Being Very Sure Of Or Positive About Something|Adjective

1100|Confinement|The Act Of Confining Or The State Of Being Confined|Noun

1101|Confiscate|To Take Or Seize (Someone'S Property) With Authority|Verb

1102|Conflagration|A Large Fire Extending To Many Objects|Noun

1103|Conflate|To Bring Things Together And Fuse Them Into A Single Entity|Verb

1104|Confluence|An Act Or Process Of Merging|Noun

1105|Confluent|(Of Wind) Which Converges, Esp. When Seen On A Weather Chart|Adjective

1106|Conform|To Act In Accordance With Expectations|Verb

1107|Conformable|Corresponding In Shape, Similar|Adjective

1108|Conformance|The Act Of Conforming, Conformity|Noun

1109|Conformation|Manner Of Formation, Structure|Noun

1110|Conformist|A Person Who Conforms To The Standards Of A Group|Adjective

1111|Conformity|Similarity In Form Or Character, Agreement|Noun

1112|Confound|To Cause Surprise Or Confusion In (Someone)|Verb

1113|Confront|To Stand Or Meet Facing, To Oppose, To Challenge|Verb

1114|Congeal|To Change From A Liquid To Solid State Perhaps By Cold|Verb

1115|Congenial|Having The Same Or Very Similar Nature Or Personality|Adjective

1116|Congenital|Present Since Birth|Adjective

1117|Congest|To Overfill Or Overcrowd|Verb

1118|Congregate|To Collect Into An Assembly, To Gather Together|Verb

1119|Congregation|A Gathering Of Faithful In A Place Of Worship|Noun

1120|Congruent|Agreeing, Accordant, Congruous|Adjective

1121|Congruity|The Quality Of Agreeing, The Quality Of Being Suitable|Noun

1122|Coniferous|Bearing Cones, As The Pine And Cypress|Adjective

1123|Conjecture|Speculation, To Express An Idea Without Proof|Verb

1124|Conjoin|To Join, To Combine|Verb

1125|Conjugal|Of, Or Relating To Marriage, Or The Relationship Of Spouses|Adjective

1126|Conjugate|To List The Inflected Forms Of A Verb For Each Person|Verb

1127|Conjugation|The Inflection Of Verbs|Noun

1128|Conjunction|The Formation Of A Link Or Connection Between Things|Noun

1129|Connive|To Cooperate With Others Secretly In Order To Commit A Crime|Verb

1130|Connoisseur|An Expert Judge In Matters Of Taste|Noun

1131|Connote|To Signify Beyond Its Literal Or Principal Meaning|Verb

1132|Connubial|Of Or Relating To The State Of Being Married|Adjective

1133|Conquer|To Defeat In Combat, To Subjugate|Verb

1134|Consanguineous|Related By Birth, Having The Same Ancestry|Adjective

1135|Conscience|The Moral Sense Of Right And Wrong|Noun

1136|Conscientious|Thorough, Careful, Or Vigilant|Adjective

1137|Conscript|To Enrol Compulsorily, To Draft|Verb

1138|Consecrate|To Make Or Declare (Something) Sacred|Verb

1139|Consecutive|Following, In Succession, Without Interruption|Adjective

1140|Consensus|General Agreement, General Opinion|Noun

1141|Conservatism|A Political Philosophy That Advocates Traditional Values|Noun

1142|Conservative|Tending To Resist Change|Adjective

1143|Conservatory|A College For The Study Of Classical Music Or Other Arts|Adjective

1144|Consign|To Transfer To The Custody Of  For Sale, Transport, Etc.|Verb

1145|Consignee|The Person To Whom A Shipment Is To Be Delivered|Noun

1146|Consignor|The Person Who Sends The Shipment|Noun

1147|Consistency|Degree Of Density, Viscosity, Firmness, Etc.|Noun

1148|Consolation|The Act Of Comforting Someone|Noun

1149|Console|To Comfort (Someone) In A Time Of Grief, Disappointment, Etc|Verb

1150|Consolidate|To Combine Into A Single Unit, To Group Together Or Join|Verb

1151|Consonance|Agreement Or Compatibility Between Opinion Or Actions|

1152|Consonant|Characterized By Harmony Or Agreement|Adjective

1153|Consort|A Wife, Husband, Or Companion|Verb

1154|Conspicuous|Obvious Or Easy To Notice, Attracting Notice Or Attention|Adjective

1155|Conspirator|A Person Who Plans To Do Something Unlawful Or Harmful|Noun

1156|Conspire|To Plot Something Unlawful Or Harmful|Verb

1157|Constable|A Police Officer Ranking Below Sergeant (British)|Noun

1158|Constellation|An Arbitrary Formation Of Stars Perceived As A Figure|Noun

1159|Consternation|Feelings Of Anxiety Or Dismay|Noun

1160|Constituency|A District Represented By One Or More Elected Officials|Noun

1161|Constituent|Part Of A Whole|Adjective

1162|Constrain|To Force Physically, To Compel|Verb

1163|Constrict|To Narrow, Especially By Applying Pressure|Verb

1164|Construe|To Interpret Or Explain The Meaning Of Something|Verb

1165|Consul|Official In A Country Who Protects Their Nation'S Interests|Noun

1166|Consulate|The Residency Of A Consul|Noun

1167|Consummate|To Bring To A State Of Perfectio, Fulfill|Verb

1168|Consumption|The Act Of Consuming Something|Noun

1169|Consumptive|Tending To Consume, Destructive, Wasteful|Adjective

1170|Contagion|A Disease Spread With Or Without Contact|Noun

1171|Contagious|Of A Disease, Easily Transmitted To Others|Adjective

1172|Contaminate|To Introduce Impurities Or Foreign Matter|Verb

1173|Contemplate|To Ponder Or Consider|Verb

1174|Contemporaneous|Existing Or Occurring In The Same Period Of Time|Adjective

1175|Contemporary|From The Same Time Period, Coexistent In Time|Adjective

1176|Contempt|Feeling That A Person Or A Thing Is Beneath Consideration|Noun

1177|Contemptible|Deserving Of Or Held In Contempt,  Despicable|Adjective

1178|Contemptuous|Scornful, Disdainful|Adjective

1179|Contend|To Strive In Opposition, To Contest, To Dispute|Verb

1180|Contender|Someone Who Competes With One Or More Other People|Noun

1181|Contentious|Causing Or Likely To Cause An Argument, Controversial|Adjective

1182|Contentment|A State Of Happiness And Satisfaction|Noun

1183|Context|The Circumstances That Form The Setting Of An Idea|Noun

1184|Contiguity|Contact Or Proximity|Noun

1185|Contiguous|Connected, Touching, Abutting|Adjective

1186|Continence|The Exercise Of Self Constraint In Sexual Matters|Noun

1187|Contingency|Dependence On Chance Or The Fulfillment Of A Condition|Noun

1188|Contingent|Possible Or Liable, But Not Certain To Occur, Incidental|Adjective

1189|Continuance|The State Of Remaining In Existence Or Operation|Noun

1190|Continuator|A Person Or Thing That Continues|Noun

1191|Continuity|Lack Of Interruption Or Disconnection|Noun

1192|Contort|To Twist In A Violent Manner|Verb

1193|Contraband|Prohibited From Being Traded|Adjective

1194|Contradiction|A Person, Thing, Or Idea In Which Has Inconsistent Elements|Noun

1195|Contradictory|Mutually Opposed Or Inconsistent|Adjective

1196|Contraposition|Placement Opposite Or Against|Noun

1197|Contravene|To Act Contrary To An Order, Or Fail To Conform|Verb

1198|Contretemps|An Unforeseen, Inopportune, Or Embarrassing Event, A Hitch|Noun

1199|Contribution|Something Given Or Offered That Adds To A Larger Whole|Noun

1200|Contributor|A Benefactor, Someone Who Donates To Charity Or Some Cause|Noun

1201|Contrite|Feeling Or Expressing Remorse Or Penitence|Adjective

1202|Contrition|The State Of Feeling Remorseful And Penitent|Noun

1203|Contrivance|A Thing That Is Obviously Planned, Forced, Or Artificial|Noun

1204|Contrive|To Form By An Exercise Of Ingenuity, To Devise, Invent|Verb

1205|Contumacious|Stubbornly Or Willfully Disobedient To Authority|Adjective

1206|Contumacy|Disobedience, Resistance To Authority|Noun

1207|Contumelious|(Of Behavior) Scornful And Insulting, Insolent|Adjective

1208|Contumely|Insolent Or Insulting Language Or Treatment|Noun

1209|Contuse|To Injure Without Breaking The Skin, To Bruise|Verb

1210|Contusion|Bruise|Noun

1211|Conundrum|A Confusing And Difficult Problem Or Question|Noun

1212|Convalesce|To Recover Health And Strength Gradually After Sickness|Verb

1213|Convalescence|A Gradual Healing After Illness Or Injury|Noun

1214|Convalescent|Recovering One'S Health And Strength After Illness|Adjective

1215|Convene|To Come Together, To Meet, To Unite|Verb

1216|Convenience|The Quality Of Being Suitable, Useful Or Convenient|Noun

1217|Convention|A Meeting Or Gathering|Noun

1218|Conventional|Based On Or In Accordance With What Is Generally Done|Adjective

1219|Converge|Of Two Or More Entities, To Approach Each Other|Verb

1220|Convergence|The Coming Together From Different Directions To Meet|Noun

1221|Convergent|Coming Closer Together, To Focus|Adjective

1222|Conversant|Closely Familiar, Current, Having Frequent Interaction|Adjective

1223|Conversion|The Act Of Having Converted Something Or Someone|Noun

1224|Convertible|Able To Be Converted|Adjective

1225|Convex|Curved Or Bowed Outward Like The Outside Of A Circle|Adjective

1226|Convey|To Make An Idea Or Feeling Know Or Understandable|Verb

1227|Conveyance|The Act Or Process Of Transporting Something|Noun

1228|Conviction|A Belief, A Judgement That Someone Is Guilty Of A Crime|Noun

1229|Convivial|Of Or Relating To A Feast Or Entertainment|Adjective

1230|Convoluted|Extremely Complex And Difficult To Follow (Argument, Often)|Adjective

1231|Convolution|Something That Is Folded Or Rolled Up|Noun

1232|Convolve|To Roll Or Coil Together, Entwine|Verb

1233|Convoy|To Escort A Group Of Vehicles, And Provide Protection|Verb

1234|Convulse|To Violently Shake Or Agitate|Verb

1235|Convulsion|An Intense, Paroxysmal, Involuntary Muscular Contraction|Noun

1236|Copious|Abundant In Supply Or Quantity|Adjective

1237|Coquette|A Woman Who Flirts Or Plays With Men'S Affections|Noun

1238|Cordial|Warm And Friendly, Courteous|Adjective

1239|Cornerstone|An Important Quality Or Feature On Which A Thing Depends|Noun

1240|Cornice|An Ornamental Molding Around The Top Of The Wall Of A Room|Noun

1241|Cornucopia|A Goat'S Horn Overflowing With Fruit, Flowers, Grain, Etc.|Noun

1242|Corollary|Something Given Beyond What Is Actually Due|Noun

1243|Coronation|The Ceremony Of Crowning A Sovereign Or Sovereign'S Consort|Noun

1244|Coronet|A Circular Decoration For The Head|Noun

1245|Corporal|Of The Human Body, Physical|Adjective

1246|Corporate|Of, Or Relating To A Corporation|Adjective

1247|Corporeal|Tangible, Material|Adjective

1248|Corps|A Battlefield Formation Composed Of Two Or More Divisions|Noun

1249|Corpulence|The State Or Characteristic Of Being Large, Plump|Noun

1250|Corpulent|Large In Body, Fat, Overweight|Adjective

1251|Corpuscle|A Minute Particle, An Atom, A Molecule|Noun

1252|Correlate|To Relate Things Having Corresponding Characteristics|Verb

1253|Correlation|A Reciprocal, Parallel Or Complementary Relationship|Noun

1254|Correlative|Mutually Related, Corresponding|Adjective

1255|Corrigible|Able To Be Corrected Or Set Right|Adjective

1256|Corroborate|To Confirm Or Give Support To (A Statement, Etc.)|Verb

1257|Corroboration|The Act Of Strengthening Or Confirming, Addition Of Strength|Noun

1258|Corrode|To Eat Away By Degrees, To Wear Away Or Diminish Gradually|Verb

1259|Corrosion|The Process Of Eating Away By Degrees|Noun

1260|Corrosive|Having The Power Of Gradually Wearing, Or Destroying Matter|Adjective

1261|Corrugate|To Draw Or Bend Into Folds Or Alternate Furrows And Ridges|Verb

1262|Corruptible|Showing A Willingness To Act Dishonestly|Adjective

1263|Corruption|The Act Of Corrupting Or Of Impairing Integrity|Noun

1264|Cosmetic|External Or Superficial, Pertaining Only To The Surface|Adjective

1265|Cosmic|Of Or From Or Pertaining To The Cosmos Or Universe|Adjective

1266|Cosmogony|A Branch Of Science Dealing With The Origin Of The Universe|Noun

1267|Cosmography|The Creation Of Maps Of The Universe|Noun

1268|Cosmology|The Study Of The Physical Universe, Its Structure, Etc.|Noun

1269|Cosmopolitan|Familiar With And At Ease In Many Different Countries|Adjective

1270|Cosmopolitanism|The Idea That All People Belong To A Single Moral Community|Noun

1271|Cosmos|The Universe Seen As A Well-Ordered Whole|Noun

1272|Cosset|To Care For And Protect In An Overindulgent Way|Verb

1273|Coterie|A Circle Of People Who Associate With One Another|Noun

1274|Countenance|A Person'S Face Or Facial Expression|Noun

1275|Counter-Claim|A Claim  Made To Offset Another Claim|Noun

1276|Counteract|To Act In Opposition To, To Hinder, Defeat, Or Frustrate|Verb

1277|Counterbalance|A Weight That Balances Another Weight|Noun

1278|Countercharge|A Charge By An Accused Person Against Their Accuser|Noun

1279|Counterfeit|To Falsely Produce What Appears To Be Official Or Valid|Verb

1280|Countermand|To Rescind By Giving An Order Contrary To A Previous One|Verb

1281|Counterpart|Either Of Two Parts That Fit Together Or Are Complements|Noun

1282|Countervail|To Have The Same Value As|Verb

1283|Counting-House|The Facility In Which A Business Carries Out Its Operations|Noun

1284|Coup|A Highly Successful, Unexpected Act|Noun

1285|Courageous|Of A Person, Displaying Or Possessing Bravery|Adjective

1286|Course|To Run Or Flow, Especially Of Liquids|Verb

1287|Courser|A Person Who Hunts With Dogs Using Sight Rather Than Scent|Noun

1288|Courtesy|Given Or Done As A Polite Gesture|Adjective

1289|Covenant|An Agreement Between Two Or More Persons, Like A Pact|Noun

1290|Covert|Not Openly Acknowledged Or Displayed|Adjective

1291|Covet|To Yearn To Possess Or Have (Something)|Verb

1292|Covey|A Small Group Of People Or Things|Noun

1293|Cower|To Crouch Or Cringe In Fear|Verb

1294|Coxswain|A Person In Charge Of A Ship'S Boat And Its Crew|Noun

1295|Coy|Artfully Or Affectedly Shy Or Reserved|Adjective

1296|Cozen|To Cheat, Deceive Or Trick|Verb

1297|Crag|A Rocky Outcrop|Noun

1298|Cranium|The Skull Of A Vertebrate|Noun

1299|Crass|Lacking In Sensitivity Or Due Consideration|Adjective

1300|Crave|To Feel A Powerful Desire For (Something)|Verb

1301|Craven|Cowardly|Adjective

1302|Creak|To Make A Prolonged Sharp Grating Or Squeaking Sound|Verb

1303|Creamery|A Place Where Dairy Products Are Prepared Or Sold|Noun

1304|Credence|Acceptance Of Something As True|Noun

1305|Credible|Believable Or Plausible|Adjective

1306|Creditable|Credible Or Believable|Adjective

1307|Credulity|Willingness To Believe Or Trust Too Readily|Noun

1308|Credulous|Having Or Showing Too Great A Readiness To Believe Things|Adjective

1309|Creed|Any System, Doctrine Or Formula Of Religious Belief|Noun

1310|Crematory|Pertaining To The Act Of Cremating Bodies|Adjective

1311|Crepuscular|Of Or Resembling Twilight, Dim|Adjective

1312|Crescendo|A Gradual Increase In Loudness|Noun

1313|Crestfallen|Sad Because Of A Recent Disappointment|Adjective

1314|Crevasse|A Crack Or Fissure In A Glacier Or Snow Field, A Chasm|Noun

1315|Crevice|A Narrow Crack Or Fissure, In A Rock Or Wall|Noun

1316|Cringe|To Bow Or Crouch In Servility|Verb

1317|Criterion|A Standard Of Judgement Or Criticism|Noun

1318|Critical|Inclined To Find Fault Or To Judge With Severity|Adjective

1319|Critique|To Give Detailed Analysis And Assessment Of Something|Verb

1320|Crockery|Eating And Serving Tableware, Usually Made Of Ceramic|Noun

1321|Crucible|A Cup-Shaped Piece Of Laboratory Equipment|Noun

1322|Crusade|To Make A Grand Concerted Effort Toward Some Cause|Verb

1323|Crustacean|Any Chiefly Aquatic Arthropod, Such As Lobster And Shrimp|Noun

1324|Crustaceous|Of The Nature Of Or Pertaining To A Crust Or Shell|Adjective

1325|Cryptic|Having A Meaning That Is Mysterious Or Obscure|Adjective

1326|Cryptogram|A Message Or Writing In Code Or Cipher|Noun

1327|Crystallize|To Make Something Form Into Crystals|Verb

1328|Cubicle|A Small Separate Part Or One Of The Compartments Of A Room|Noun

1329|Cudgel|A Short, Thick Stick Used As A Weapon, Like A Club|Noun

1330|Cul-De-Sac|A Blind Alley Or Dead End Street|Noun

1331|Culinary|Relating To Cookery Or The Activity Of Cooking|Adjective

1332|Cull|To Pick Or Take Someone Or Something (From A Larger Group)|Verb

1333|Culminate|To Reach A Climax Or Point Of The Highest Development|Verb

1334|Culmination|The Highest Or Climactic Point Of Something|Noun

1335|Culpable|Deserving Blame|Adjective

1336|Culprit|The Person Or Thing At Fault For A Problem Or Crime|Noun

1337|Cultivate|To Prepare And Use (Land) For Crops Or Gardening|Verb

1338|Culvert|A Channel Under A Road Or Railway For The Draining Of Water|Noun

1339|Cumbersome|Burdensome Or Hindering, As A Weight Or Drag|Adjective

1340|Cumulative|Increasing In Quantity Or Force By Successive Additions|Adjective

1341|Cunning|Having Or Showing Skill In Achieving One'S Ends By Deceit|Adjective

1342|Cupidity|Greed For Money Or Possessions|Noun

1343|Curable|Able Of Being Cured|Adjective

1344|Curator|A Keeper Or Custodian Of A Museum Or Other Collection|Noun

1345|Curio|A Strange And Interesting Object Which Invokes Curiosity|Noun

1346|Curmudgeon|A Bad-Tempered Or Surly Person|Noun

1347|Cursive|(Handwriting) In Flowing Strokes With The Letters Connected|Adjective

1348|Cursory|Hasty And Therefore Not Thorough Or Detailed|Adjective

1349|Curt|Brief Or Terse, Especially To The Point Of Being Rude|Adjective

1350|Curtail|To Cut Short|Verb

1351|Curtsy|A Respectful Bow Made By Women And Girls|Noun

1352|Cycloid|Resembling A Circle, Cyclical|Adjective

1353|Cygnet|A Young Swan|Noun

1354|Cynic|Churlish Or Satirical|Adjective

1355|Cynical|Believing That People Are Motivated By Self-Interest|Adjective

1356|Cynicism|A Distrustful Attitude|Noun

1357|Cynosure|That Which Serves To Guide Or Direct|Noun

1358|Dabble|To Work At Anything In An Irregular Or Superficial Manner|Verb

1359|Dank|Unpleasantly Moist Or Humid|Adjective

1360|Dapper|Neat, Trim|Adjective

1361|Dare|To Have The Courage To Do Something|Verb

1362|Darkle|Uncannily Or Threateningly Dark Or Obscure|Adjective

1363|Darwinism|Theory: Species Come From Parent Forms Via Natural Selection|

1364|Dastard|Meanly Shrinking From Danger, Cowardly|Adjective

1365|Datum|A Single Piece Of Information|Noun

1366|Daunt|To Make (Someone) Feel Intimidated Or Apprehensive|Verb

1367|Daunting|Causing Fear Or Discouragement|Adjective

1368|Dauntless|Invulnerable To Fear Or Intimidation|Adjective

1369|De Facto|In Fact, Whether By Right Or Not|Adverb

1370|Deacon|A Member Of The Clerical Order Below That Of A Priest|Noun

